cluster_id,cluster_size,cluster_content,center
190,18,arePositiveIn(3) werePositiveFor(3) wereNegativeFor(3) wasPositiveFor(2) isPositiveIn(1) wasNegativeFor(1) isPositiveInAllExcept(1) mayBePositiveIn(1) isNegativeIn(1) isPositiveInAllTheFollowingExcept(1) isPositive(1),isPositiveIn
191,13,correspondsTo(4) respondsTo(2) relaysTo(1) referredTo(1) correspondTo(1) respondDirectlyTo(1) givesResponseTo(1) respondWellTo(1) concludesTo(1),correspondTo
192,10,removes(8) deliberatelyRemoves(1) remove(1),removes
193,11,areExpressedBy(4) isExpressedOn(3) expressedAtLowLevelsIn(2) expressedAs(2),areExpressedBy
194,22,isMostLikely(3) mostLikelyOccur(1) isMostlyIn(1) mostLikelyCausedAfter(1) isMostLikelyToDemonstrate(1) isLeastLikelyToResultIn(1) isMostLikelyToBeDisplacedDueTo(1) isMostLikelyToBe(1) mostLikelyToHave(1) isMostDeformity(1) wouldMostLikely(1) isMostLikelyIn(1) reliesEntirelyOn(1) mostLikelySiteOfAppearanceIs(1) isMoreLikelyDamaged(1) isMostProbably(1) isLikelyToHave(1) isLeastLikelyToCause(1) isTheLeastLikelyPossibilityIn(1) isLikelyToPresentAs(1),isMostLikelyIn
195,9,divides(9),divides
196,6,hasGrade(5) levels(1),levels
197,13,isAttachedTo(8) helpInAttaching(1) attachedTo(1) areAttachedTo(1) hasAttachmentFrom(1) attachesTo(1),attachedTo
198,19,canBeTransmittedBy(4) isTransmittedBy(3) isTransmittedToHumansThrough(3) canTransmit(2) areTransmittedThrough(2) transmissionModeIsNot(1) hasTransmissionMode(1) isTransmittedAmong(1) isDocToPreventTransmissionOf(1) isTransmittedThrough(1),isTransmittedThrough
199,36,isNot(33) isActually(1) isNo(1) isNeither(1),isNo
200,10,hasLateralWallFormedBy(3) hasAnteriorWallFormedBy(3) hasPosteriorWallFormedBy(3) hasPosteriorBorder(1),hasPosteriorWallFormedBy
201,8,shouldBePreoxygenatedWith(1) isFullyAnticoagulatedWith(1) requiresPremedicationWith(1) copolymerizesWith(1) recommendsSubsequentExaminationIn1WeekIfEmbryo(1) harvestedFromBloodAnticoagulatedWith(1) isMandatoryForOxygenDeliveryIf(1) mustDoMedicalExaminationWithin(1),shouldBePreoxygenatedWith
202,26,isAdministeredIn(8) isAdministered(4) isAdministeredBy(2) canBeAdministered(1) shouldBeAdministered(1) mayBeAdministeredInCaseOf(1) cannotAdminister(1) areAdministered(1) isAdministeredBefore(1) isToAdminister(1) wasAdministered(1) isAdministeredAtAge(1) isAdministeredAs(1) areAdministeredWith(1) shouldBeInitiatedToProvideARouteForAdministrationOf(1),areAdministered
203,20,isMediatedBy(11) areMediatedThrough(1) isStimulatedBy(1) isNotMediatedBy(1) canBeDemonstratedBy(1) isSustainedBy(1) areStimulatedBy(1) isFacilitatedBy(1) isTriggeredBy(1) isRimmedBy(1),isMediatedBy
204,8,isUsuallyDoneIn(3) isAlsoAppliedSuccessfullyIn(2) isUsuallyCompletedUsing(2) isMainlyDoneToDiagnose(1),isUsuallyCompletedUsing
205,21,isARiskFactorFor(17) isAVirusThatIsARiskFactorFor(2) consumptionIsARiskFactorFor(1) isNotARiskFactorFor(1),isARiskFactorFor
206,28,isWrittenBy(9) isWrittenOn(3) isDrainedBy(2) isEncodedBy(2) isLinedBy(2) isAmendedBy(1) isDamagedBy(1) isStatedBy(1) isDemarcatedBy(1) areLinedBy(1) isGradedBy(1) isPerforatedBy(1) isDictatedBy(1) isDesignedBy(1) isEditedBy(1),isWrittenBy
207,21,doesNotCause(6) doNotCause(2) hasCauseOfDeath(2) doNotLet(1) hasCause(1) didNotImprove(1) doesnTLeadTo(1) inExcessMayCause(1) didNotDo(1) didNotGive(1) leastLikelyToCause(1) doesnTCross(1) doNotBecome(1) usuallyDoesNotCause(1),doNotCause
208,18,shouldBe(18),shouldBe
209,11,accountsFor(10) accountFor(1),accountsFor
210,20,isConvertedTo(4) isConvertedInto(2) isConvertedFrom(2) cannotBeConvertedBackTo(2) isNotConvertedTo(1) convertTo(1) isEnlargedTo(1) inWhomConversionFromALaparoscopicApproachIsRequired(1) shouldConvertTheCaseAndDo(1) isConvertedByLiverTo(1) regulatesTheConversionOf(1) getsConvertedTo(1) isNotCodedDirectlyIn(1) isQuicklyConvertedTo(1),isNotConvertedTo
211,4,playsAKeyRoleIn(1) playsAKeyRoleInSignalingToEstablish(1) hasAKeyRoleIn(1) isAKeyFeatureOf(1),hasAKeyRoleIn
212,17,aimedToCompare(2) isEquivalentTo(2) isComparedTo(2) canBeComparedBy(1) isAnExcellentWayToCompare(1) isEqualTo(1) isUsedToCompare(1) isAToolToCompare(1) usedToCompare(1) shouldBeUsedToCompare(1) hasTensileStrengthBothAt15Min7DaysComparableTo(1) isVeryLargeComparedTo(1) isLessWhenComparedTo(1) areUsedToCompare(1),usedToCompare
213,10,providesTasteFrom(5) providesSampleFor(2) suppliesMucosaBelow(1) suppliesMucosaFrom(1) providesGeneralSensationAndTasteFrom(1),suppliesMucosaFrom
214,22,isGreaterThan(6) isBetterThan(4) isRougherThan(2) areSuperiorTo(2) hasGreaterSpringBackInBendingThan(1) becomesGreaterThan(1) is40TimesGreaterThanWith(1) isGreaterWith(1) isWorseWith(1) isMuchSuperiorFor(1) isBetterFor(1) isGreaterFor(1),isGreaterThan
215,4,secrete(3) doesNotSecrete(1),secrete
216,26,arePresentIn(16) presentIn(4) arePresentOn(2) wasPresentIn(1) arePresentWithin(1) areDemonstratedIn(1) areAvailableIn(1),arePresentIn
217,20,isUsedWith(3) isUsedBy(2) isUsedAt(2) usedWith(2) butGetWetWith(1) isPackedWith(1) isLutedWith(1) isUsedToLocateAndPrick(1) isUsedForIllustrationOf(1) wasUsing(1) isUsedAlongWith(1) isPlayingWith(1) registeredForUseInIndividuals(1) isUsedOnlyIn(1) isWashedWith(1),isUsedWith
218,25,actsOn(14) actOn(2) actsBy(1) actsIn(1) actsAt(1) primarilyActsOn(1) actBy(1) actsDirectlyOn(1) cannotActOn(1) actionOn(1) actsWith(1),actsOn
219,22,develops(22),develops
220,29,isIncreasedIn(6) isIncreasedWith(3) hasIncreased(3) isIncreasedDuring(2) isIncreasedAfter(1) increasesAwarenessAbout(1) canBeIncreasedOrDecreasedIn(1) increaseExpressionOf(1) shouldBeIncreased(1) areIncreasedResultingIn(1) isAlsoIncreasedIn(1) areIncreasingWith(1) canBeIncreasedBy(1) mayBeIncreasedBy(1) isIncreasedBy(1) isAnAbnormallyIncreased(1) isIncreasedBecauseOf(1) isIncreasedBeyond(1) areMostIncreasedInNumber(1),isIncreasedBecauseOf
221,46,isInvolvedIn(19) areInvolvedIn(7) isNotInvolvedIn(3) involvedIn(3) isIncorporatedInto(2) areContainedIn(2) areLeastInvolvedIn(1) areInfiltratedWith(1) isDueToInvolvementOf(1) isThoughtToBeInvolvedIn(1) isIntactIn(1) haveProductsInvolvedIn(1) isGenerallyInvolvedIn(1) incorporatedIn(1) isConcentratedIn(1) hasPreferentialInvolvementOf(1),isInvolvedIn
222,8,areConsideredElevated(4) isElevatedAlongWith(1) hasElevatedLevelsPresentIn(1) areNormallyElevatedAt(1) areElevated(1),areElevated
223,15,reference(15),reference
224,12,screens(11) channels(1),screens
225,12,controls(11) control(1),controls
226,13,isDoneIn(5) isDoneThrough(4) isNotDoneIn(1) doneIn(1) isClosedIn(1) isDoneEvenIn(1),isDoneIn
227,10,increasesTheRiskOf(3) hasRiskOf(2) carriesIncreaseRiskTo(1) avoidsTheRiskOf(1) increasesRiskOf(1) putsAtRiskOf(1) haveIncreasedRiskIn(1),increasesRiskOf
228,7,underwent(7),underwent
229,9,hasSsiRate(9),hasSsiRate
230,5,improvedSymptomaticallyAfterManagementWith(5),improvedSymptomaticallyAfterManagementWith
231,9,isLessEffectiveInTreating(4) isHighlyEffectiveInCounterActing(1) isMoreEfficaciousAsComparedTo(1) needCorrectingBeforeTreating(1) isLeastEfficaciousInTheTreatmentOf(1) areMoreSuccessfulIn(1),isLessEffectiveInTreating
232,20,isPlacedIn(3) shouldBeSeated(2) shouldBePlaced(2) isNotPlacedOn(2) arePlacedIn(1) isPlacedOn(1) areToBePlacedIn(1) cannotBeSuperimposedIn(1) canBeSuperimposedIn(1) mustNotBePositionedAwayFrom(1) shouldBeInThatPositionFor(1) isOffcenter(1) shouldBePlacedDeepInto(1) mentionsOvatePonticsOnPages(1) shouldBePlacedIn(1),shouldBePlacedIn
233,20,constitute(20),constitute
234,15,takesPlaceIn(6) takesPlace(2) takesPlaceWithin(1) takesOver(1) canNeverPlace(1) takesPlaceBy(1) takesFoodAccordingTo(1) doesNotTakePlaceIn(1) takesPlaceMainlyIn(1),takesPlaceIn
235,9,maintains(7) mediates(1) attains(1),maintains
236,23,isImportantIn(8) isCriticalFor(2) areImportantIn(2) isImportantFor(2) isImportantInMaintaining(2) isImportantForCreating(1) isCriticalTo(1) isCriticalIn(1) areImportantFor(1) isPrimarilyImportantIn(1) areCriticalForFollowingTheCourseOf(1) isEssentialIn(1),isImportantFor
237,15,treatmentIncludes(6) hasTreatment(2) bestTreatmentIs(1) promoteHemostasisUsing(1) suitableSurgery(1) treatmentLine(1) surgicalIntervention(1) appliesToPatientsWhoWillHaveCompletedFacialGrowthPriorTo(1) hPyloriTreatment(1),bestTreatmentIs
238,33,canLeadTo(26) leadTo(3) breaksLeadTo(1) wouldLeadTo(1) doesNotLeadTo(1) willLeadTo(1),willLeadTo
239,33,isCommonIn(13) isCommonTo(3) areCommonIn(3) isCommonWith(2) isCommonFor(2) isTheCommonFactorForTheInitiationOf(2) commonlyIndicates(2) isRareIn(1) isCommon(1) commonSitesIn(1) isUnusualIn(1) commonSite(1) isUncommonIn(1),isCommon
240,17,isProportionalTo(5) isDirectlyProportionalTo(4) isInverselyProportionalTo(3) isOutOfProportionTo(1) isThePercentageOf(1) percentageAfter(1) theRatioChangesFrom(1) isProximalMedialTo(1),isProportionalTo
241,16,tells(4) speaks(3) tellsUs(2) believes(1) feels(1) tellsAbout(1) knows(1) told(1) kills(1) toldThat(1),told
242,7,isPartOfChromosomalSyndromes(6) karyotypeIs(1),isPartOfChromosomalSyndromes
243,10,isUsedInTreatmentOf(4) isUsedInTheTreatmentOf(2) isAMedicationForTheTreatmentOf(1) isTheTreatmentMostCommonlyUsedIn(1) isIndicatedInAdultsForTheTreatmentOf(1) shouldNotBeUsedInTheTreatmentOf(1),isUsedInTheTreatmentOf
244,25,isAFeatureOf(12) isNotAFeatureOf(4) isAFetalGrowthScanBetween(2) isAFunctionOf(2) haveNoStructuralAnalogueOf(1) isAnEarliestSignOf(1) areOfAge(1) isAFailureOf(1) mayBeAFeatureOf(1),mayBeAFeatureOf
245,33,mayInvolve(3) mayShow(2) mayOccurIn(2) mayAriseBy(2) mayDamage(2) mayLast(1) mayAppear(1) mayOrMayNotDiminish(1) mayRemainViableIn(1) mayContain(1) mayDevelop(1) mayEffect(1) mayDevelopAfter(1) mayPoseProblemIn(1) mayInfluence(1) mayExperience(1) mayEvolveInto(1) mayGet(1) mayModulate(1) mayAriseFrom(1) mayImpair(1) mayRupture(1) mayAlsoCome(1) mayCoagulate(1) mayDisturb(1) mayTearIf(1) mayShowUpAs(1),mayGet
246,9,offers(3) offer(2) consider(2) plus(1) adds(1),offer
247,14,carries(12) orders(2),carries
248,17,isReducedBy(4) isReducedInResponseTo(3) isReducedTo(2) mustBeReducedTo(1) isIntendedToReduce(1) reducedBy(1) isReducedWith(1) actsByReducing(1) isReduced(1) isReducedToBelow(1) mayBeIncreasedBecauseOfReductionOf(1),isReducedTo
249,8,progressesAround(1) progressesTo(1) hasDevelopmentalMilestonesOf(1) gradientIncreasesTo(1) progressShouldBeNoSlowerThan(1) mayProgressTo(1) rashProgressesTo(1) becomesProgressivelyMore(1),progressesTo
250,18,mayNeedToBeHeparinizedBy(2) toBeEstablishedAt(2) mayNeedToBeHeparinizedByDrawingUp(1) residingAt(1) canBeSterilizedBy(1) residedAt(1) areRecordedIn(1) isConstructedOn(1) mustAriseAt(1) areRodLikeThickeningOf(1) isTiltedDown(1) isHeatedTo(1) isSpecializedToProvide(1) isVentilatedWith(1) mustBeSoldOnlyOnProductionOf(1) isSuctionedFrom(1),mayNeedToBeHeparinizedBy
251,3,areNotSynthesizedIn(2) doNotEmboliseTo(1),areNotSynthesizedIn
252,20,resultsFrom(18) resultFrom(2),resultFrom
253,24,isClassifiedAs(6) areClassifiedAs(3) areClassifiedBy(2) isClassifiedUnder(2) isRecognizedAs(1) isClassifiedCodifiedAndStoredIn(1) classificationIncludes(1) classifies(1) areClassifiedAccordingTo(1) classifiedAccordingTo(1) isClassifiedWithPropertyOf(1) wasClassedAs(1) isClassifiedOnTheBasisOf(1) isClassifiedIf(1) isClassifiedIfAny(1),isClassifiedAs
254,29,isTreatmentFor(4) isOnTreatmentWith(4) isUsedForTreatmentOf(3) isATreatmentOptionFor(3) hasDurationOfTreatment(2) initialTherapyBeginsWith(1) isTopicalTreatmentFor(1) isEffectiveInPreventionTreatmentOf(1) isANovelNeuroprotectiveAgentForTheTreatmentOf(1) isUsedForRadicalCureOf(1) isAThirdLineTreatmentIn(1) isForTreatmentIn(1) isForTreatmentOf(1) isConsideredInTreatmentOf(1) areCornerstoneOfTreatmentFor(1) requiresTreatmentFor(1) isTheBestTreatmentOptionFor(1) isOnTreatmentFor(1),isOnTreatmentFor
255,12,isAuthorOf(4) isAnAuthorOf(4) isTheAuthorOf(2) authorIs(1) author(1),isTheAuthorOf
256,42,isIn(30) isRichIn(2) isInverted(1) isNotIn(1) isHeardIn(1) isInside(1) isPoorIn(1) wasIn(1) inQuestionIs(1) isPackedIn(1) isPlayingIn(1) isFeltIn(1),isNotIn
257,7,allowPassageOf(3) notPassingUrineFor(1) passesThroughTheCentreOf(1) allowsPassageOf(1) passesInFrontOf(1),allowsPassageOf
258,14,areStoredAt(7) storedAt(4) shouldBeStoredAt(2) isStoredIn(1),areStoredAt
259,16,wasDiagnosedToHaveInfectionWith(2) goOnInfecting(1) infectiveAgentIs(1) infect(1) isTheMostCommonFungalInfectionSeenInPatientsWith(1) isTheMostCommonFungalInfectionOfTheEyeSeenIn(1) isInfectiveTo(1) infectionThrough(1) infects(1) infectedWith(1) chancesOfInfectionIncreasesWith(1) haveIncidenceOfMeningococcalMeningitis(1) babyMayBeInfected(1) areTheMostCommonInfectiousAgentsOf(1) acquiresInfectionDuringDeliveryFrom(1),infectionThrough
260,14,occursAfter(8) occursAfterClosureOf(1) resultAccidentallyDuring(1) occurredAfter(1) occurInMostAdultsAfter(1) occurAfter(1) occursMostlyAfterConsuming(1),occurAfter
261,4,specialSideEffect(4),specialSideEffect
262,19,isAComponentOf(9) isASymptomOf(4) isNotAComponentOf(2) isASyntheticAnalogueOf(1) isAMajorComponentOf(1) isNotTheProductOf(1) isAProjectionOf(1),isNotAComponentOf
263,57,isKnownAs(46) areKnownAs(7) areKnownFor(2) itIsKnownAs(1) wasKnownAs(1),isKnownAs
264,2,receivedApprovalIn(1) receivedApprovalFor(1),receivedApprovalFor
265,19,canBeGivenIn(3) needNotBeGivenIn(2) isNotGivenIn(2) isGivenIn(2) hasBasisIn(1) inChildIs(1) canEnterIn(1) canBeGiven(1) whenAttachedToMucinsGiveThem(1) donTGetClearedIn(1) isNoGainIn(1) relieveAnginaIn(1) canBeHeardIn(1) canBeGivenWithout(1),canBeGivenIn
266,9,secretes(7) exclusivelySecretes(1) scavenges(1),exclusivelySecretes
267,8,isGameticidalAgainst(3) isGametocidalTo(2) isGametocidalFor(2) isGametocidalAgainst(1),isGametocidalAgainst
268,23,canProduce(7) mayProduce(3) willProduce(2) isRequiredToProduce(2) failedToProduce(1) areUnableToProduce(1) areNotAbleToProduce(1) produceNoIn(1) requiredToProduce(1) doNotProduce(1) doesNotProduce(1) canGenerate(1) canTProduce(1),doesNotProduce
269,6,isAlways(3) wasRepeatedlyTold(1) isRepeatedWhenever(1) isNotAlways(1),isNotAlways
270,6,normal(2) normalIs(2) normalizes(1) normalize(1),normalizes
271,4,combines(2) recombines(1) combine(1),combines
272,23,willCause(4) willSee(2) willShow(2) willLower(2) willDefinitelyTell(1) willTell(1) willTip(1) willDefinitelyTellHer(1) willHelp(1) willGoWith(1) will(1) alsoWillCause(1) willDisplay(1) willFall(1) willRise(1) willUse(1) willBeAppropriateIfWeWantToSee(1),willUse
273,31,areFoundIn(26) areFound(2) areFoundExtensivelyIn(1) areFoundAt(1) areFoundThroughout(1),areFound
274,7,identifies(7),identifies
275,5,rulesOut(3) toRuleOut(1) isNeededToRuleOut(1),toRuleOut
276,15,hasFeature(13) isAUniqueFeatureNotedIn(1) hasTheFeature(1),hasTheFeature
277,17,references(15) ref(2),references
278,11,reaches(7) csfReaches(1) reachesTo(1) reach(1) reachesItsPeak(1),reachesTo
279,18,usedIn(14) usedWithin(3) usedIs(1),usedIn
280,10,receives(9) conceives(1),conceives
281,23,isUnder(19) isBelow(2) isGivenUnder(1) isUndergoing(1),isGivenUnder
282,37,associatedWith(32) haveBeenAssociatedWith(2) associatedPrimarilyWith(1) hasStrongAssociationWith(1) hasBeenAssociatedWith(1),hasBeenAssociatedWith
283,6,cystAre(2) entersKrebsCycle(1) cyst(1) noCyst(1) noCaries(1),noCyst
284,11,belongTo(5) belongsTo(3) adhereTo(2) notBelongingTo(1),belongTo
285,4,sends(2) wantsToSend(1) send(1),sends
286,8,lacks(4) lack(2) loses(1) damages(1),lacks
287,15,canDetect(8) canImage(2) canRecord(1) canDistinguish(1) cannotDetect(1) toDetect(1) canAccuratelyDetect(1),canDetect
288,12,isBornAt(2) bornWith(2) livedFromEarlyInfancyAt(1) areMoreFrequentInNewbornsThan(1) areNormallyBornWith(1) born5DaysOrMoreFromTheBeginningOfMaternalDisease(1) givingBirthTo(1) inLivebornOffspringWillBe(1) mayBecomeActiveAgainInTheFirstFewYearsOfTheBabySLife(1) isBornBy(1),areNormallyBornWith
289,9,contraindications(5) sustained(3) hasContraindications(1),contraindications
290,18,wasBroughtTo(8) isBroughtTo(3) wasBroughtWith(1) wasBroughtFrom(1) hasBeenBroughtTo(1) brought(1) wasBroughtAt(1) isBroughtAboutBy(1) wasBroughtBy(1),wasBroughtBy
291,6,advocatedAsScreeningTestFor(2) isSubjectedToScreeningBy(1) isNotUsedForScreening(1) isScreenedUsing(1) isUsedForScreening(1),isUsedForScreening
292,25,reveals(25),reveals
293,8,hasFloorFormedBy(6) hasRoofFormedBy(2),hasFloorFormedBy
294,8,isAggravatedIf(8),isAggravatedIf
295,14,changesFrom(2) changesColor(1) turnsPinkFromOxidationTo(1) madeChangeIn(1) changes(1) canBeChangedTo(1) canBeChangedBy(1) notChangingIn(1) changesWith(1) changesAs(1) changesTo(1) changesAreHighlightedIn(1) isChangedTo(1),changesTo
296,15,improves(7) improved(2) performs(2) does(1) doesnTImprove(1) modifies(1) helps(1),improves
297,24,isContraindicatedIn(11) isContraindicated(3) areContraindicatedIn(2) isNotAContraindicationFor(2) isNotContraindicatedIn(2) isContraindicatedAs(1) areContraindicatedDueTo(1) isStrictlyContraindicatedFor(1) isContraindicatedWhen(1),isContraindicatedIn
298,10,willHave(6) canHave(1) alsoHave(1) willHaveToDo(1) willDeprive(1),willHave
299,4,inEclampsiaIs(2) electiveCesareanSectionIsIndicatedToPrevent(1) eclampsiaWas(1),eclampsiaWas
300,6,hadDiagnosisOf(1) aDiagnosisOf(1) suggestsADiagnosisOf(1) hasAKnownDiagnosisOf(1) hasDiagnosisOf(1) favourTheDiagnosisOf(1),aDiagnosisOf
301,39,bindsTo(21) binds(9) bindTo(4) bondsTo(2) bindsSpecificallyTo(1) bindsToReceptorsOn(1) bindsOn(1),bindsTo
302,19,isIndicatedBy(9) initiatedBy(2) canBeInducedBy(2) isInducedBy(2) contractionInitiatedBy(1) isIngestedBy(1) indicatedBy(1) isExemplifiedBy(1),isInducedBy
303,7,pierces(3) bites(1) poses(1) penetrating(1) penetrates(1),penetrates
304,14,promotes(12) denotes(2),denotes
305,29,characterizedBy(25) characterizes(3) characterize(1),characterize
306,5,inWorldBy(5),inWorldBy
307,27,isMoreCommonIn(11) isMoreCommonThan(2) isMoreCommonWith(2) isMoreCommonDuring(2) isMoreAbundantIn(2) areExtremelyCommon(1) hasBeenMoreCommonAmong(1) isMuchMoreCommonThan(1) areMoreCommonIn(1) areMoreCommonOn(1) isLessCommon(1) isMoreCommon(1) isLessStandardizedAndLessReproducibleThan(1),isMoreCommon
308,12,pulls(4) pullsOut(3) canBePulledOff(2) willTendToPull(2) shouldBePulledBackIf(1),pullsOut
309,13,shouldBeMaintained(3) maintain(3) helpMaintain(1) isMaintaining(1) helpsMaintain(1) triesToMaintain(1) remainsStatic(1) isToMaintain(1) keep(1),isToMaintain
310,15,isHelpfulFor(9) areOfNoHelpIn(1) isHelpfulIn(1) isNotHelpfulFor(1) isNotHelpfulIn(1) providesSupportFor(1) mayBeHelpfulWith(1),isHelpfulIn
311,10,isConsidered(6) areConsidered(1) considered(1) shouldBeConsideredWith(1) shouldBeConsidered(1),shouldBeConsidered
312,6,hasSideEffects(5) sideEffectsSimilarTo(1),sideEffectsSimilarTo
313,14,mayCause(13) mightCause(1),mayCause
314,15,isAuthoredBy(10) coAuthored(2) signedBy(1) notAuthorize(1) doesNotAuthorize(1),notAuthorize
315,38,isABranchOf(36) isNotABranchOf(2),isABranchOf
316,12,isSafeIn(10) canBePerformedSafelyIn(1) isSafeDuring(1),isSafeDuring
317,16,delivers(12) digest(2) yields(1) relieves(1),relieves
318,11,leaves(6) cleaves(2) saves(2) lyses(1),cleaves
319,14,for(13) forPerforming(1),for
320,11,hasSigns(7) signifies(2) hasSignsOf(1) isTheFirstSignOf(1),hasSignsOf
321,19,passesThrough(6) passThrough(3) notPassing(1) travelsThrough(1) needsToPassThrough(1) canNotPass(1) passes(1) entersThrough(1) passesFrom(1) generallyPassTo(1) haveNotPassed(1) passesBelow(1),passesFrom
322,11,begins(3) beginsAt(3) beginsWith(2) beginsIn(1) beginsToBeat(1) beginsWhen(1),beginsIn
323,4,isProjectedOcclusallyOver(1) isComposedLargelyOf(1) constituteNearly1Of(1) constituteNearly70Of(1),constituteNearly1Of
324,12,isAgainst(2) pressAgainst(1) isMoreActiveIn(1) hasStrongerActivityAgainst(1) doesNotMoveAgainst(1) isLessActiveAgainst(1) isExertedAgainst(1) areInactiveAgainst(1) isActiveAgainst(1) isVeryActiveIn(1) activeAgainst(1),isActiveAgainst
325,3,or(3),or
326,8,creates(5) bears(1) generates(1) create(1),create
327,19,comesTo(8) goesTo(4) to(2) goTo(1) returnsTo(1) comesAt(1) comeTo(1) comesFor(1),comeTo
328,34,canBe(10) canTell(3) cannotBe(2) canBeElicited(2) canElicit(1) canTrigger(1) canAllow(1) canAdhereTo(1) isAbleToJudge(1) canUtilize(1) canKill(1) canTTolerate(1) cannotAbo(1) canAbo(1) canTSecure(1) canEdit(1) canDigest(1) canAblate(1) canCure(1) canSpeak(1) canBeAdvanced(1),canAblate
329,12,isRelevantInAllExcept(2) isPresentInAllExcept(1) containsAllExcept(1) isGivenExcept(1) hasAssociationsExcept(1) mayProduceAllOfTheFollowingEffectsExcept(1) affectsAllExcept(1) isDoneForAllExcept(1) isUsedForAllExcept(1) isRequiredInAllCasesExcept(1) developsFromAllOfTheFollowingExcept(1),isPresentInAllExcept
330,93,isCausedBy(86) areCausedBy(4) isNotCausedBy(2) isUsuallyCausedBy(1),isNotCausedBy
331,8,canProvideInaccurateReadingsIn(6) provideIncorrectReadingsIn(2),canProvideInaccurateReadingsIn
332,10,functionsAs(4) functionIs(2) functionAs(2) functionIn(1) functionsIn(1),functionAs
333,5,got(4) tagged(1),tagged
334,6,adopts(1) adopted(1) adoptedIn(1) hasAdopted(1) wasAdoptedIn(1) hampered(1),adoptedIn
335,11,standsFor(11),standsFor
336,8,doseIs(4) dose(3) inMorphineOverdose(1),doseIs
337,14,isNotSeenIn(9) areNotSeenIn(4) wasNotSeenIn(1),isNotSeenIn
338,19,contain(19),contain
339,27,isDiagnosedBy(6) diagnosedWith(4) isDiagnosedAs(4) canDiagnose(2) isDiagnosedWith(2) cannotDiagnose(2) diagnosedFollowing(1) isDiagnosedToBe(1) canBeDiagnosedIn(1) canBeDiagnosedBy(1) establishesTheDiagnosisOf(1) isDiagnosed(1) isDiagnosedWhen(1),isDiagnosed
340,12,usedFor(11) givenFor(1),usedFor
341,34,areLocatedIn(31) areLocated(2) areUsuallyLocatedIn(1),areLocatedIn
342,19,wasDevelopedBy(4) wasDevelopedIn(2) didNotDevelop(2) arePoorlyDevelopedOr(1) wereWellDeveloped(1) isNotDevelopedEnoughToDevelop(1) isUnderdevelopedAt(1) hasBeenDevelopedFor(1) isDevelopedAs(1) areDevelopedFrom(1) developedDueTo(1) isDevelopedFrom(1) babyCouldDevelop(1) developed1HourAfterEating(1),areDevelopedFrom
343,18,isHigherThan(3) isMoreThan(2) areMoreThan(1) areMoreViscousThan(1) areMoreInNumberThan(1) isMorePotentThan(1) shouldBeMoreThan(1) isMoreSevereThan(1) areMoreSafeThan(1) isMoreStriatedThan(1) haveMoreFlutesOnTheBladeThan(1) wasDoneMoreThan(1) mriIsBetterThan(1) isLessLikelyToBeContaminatedThan(1) administerNoMoreThan(1),isMoreThan
344,18,willDecrease(3) areDecreasedIn(1) isDecreased(1) apparentlyDecreasesWith(1) hasDecreased(1) isNotDecreasedBy(1) canDecrease(1) increasesOrDecreases(1) isDecreasedInAllExcept(1) isDecreasedBy(1) isUsedToDecrease(1) mayDecrease(1) doNotDecrease(1) canSignificantlyLower(1) hasDecreasedBecauseOf(1) canBeDecreasedIn(1),areDecreasedIn
345,26,isPreferredFor(10) isPreferred(2) isPreferredRouteFor(2) isPreferredBecause(2) preferredSiteIs(2) arePreferredFor(1) arePreferredIn(1) isPreferredOver(1) willBePreferredFor(1) isPreferableFor(1) isPreferredIn(1) shouldBePreferredIn(1) isPreferredTo(1),isPreferredIn
346,8,found(4) foundThat(2) lost(1) foundAlong(1),found
347,7,hasDefectIn(2) defectIn(2) hasBrokenOutOn(1) triesToRepair(1) isCausedDueToDefectIn(1),hasDefectIn
348,18,isBy(11) areMainlyBy(1) isMainlyBy(1) isGroovedBy(1) areHeldBy(1) areUnitedBy(1) killsBy(1) by(1),isBy
349,11,cameTo(9) cameOutToBe(1) cameFor(1),cameFor
350,19,isMentionedIn(14) isDiscussedIn(2) failToMentionProvide(1) areMentionedIn(1) isNotMentionedIn(1),isMentionedIn
351,12,isElevatedIn(3) eruptIn(2) elevatedIn(2) elevates(1) isExcretedIn(1) eyeballTensionIs(1) elevated(1) mayNotBeElevatedIn(1),elevatedIn
352,9,becomes(8) becomesSterile(1),becomes
353,5,isUsedInCombinationWith(2) shouldBeUsedInCombinationWith(2) areAvailableInCombinationWith(1),shouldBeUsedInCombinationWith
354,9,endsAt(5) endsIn(2) wasBornAtTheEndOf(1) endsWhen(1),endsIn
355,14,isCharacteristicOf(3) morphologicallyShows(2) areCharacteristicOf(2) areCharacteristicsOf(2) areCharacteristicOnTheRadiographOf(1) areCharacteristicTo(1) areCharacteristicSpherulesOf(1) isCharacteristicPostureIn(1) isCharacteristicFor(1),areCharacteristicOf
356,14,inhibit(7) exhibit(2) avoid(2) doNotInduce(1) competitivelyInhibit(1) mayInhibit(1),inhibit
